n_gram,food,food_sec,food_pri,food_Light/trad,food_wholesome/salty snacks,food_packaged/nonpackaged,products,products_pri,brand,emotion,emotion_sec,emotion_pri,location,location_pri,companion,companion_sec,companion_pri,tod,tod_pri,technical,technical_pri,functional,functional_pri,activity,activity_pri,beverage,beverage_sec,beverage_pri 
limon 7,limon 7,candy/chocolate,candy/chocolate,,sweet snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
linchia,,,,,,,linchia,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
linhaca dourada,,,,,,,linhaca dourada,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
linhaca marrom,,,,,,,linhaca marrom,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
liquor,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol,alcohol,alcoholic
lisonja,lisonja,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
lisonjear,lisonjear,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
listening to music,,,,,,,,,,,,,,,,,,,,,,,,listening to music,leisure,,,
living room,,,,,,,,,,,,,living room,home,,,,,,,,,,,,,,
loaf,loaf,breads,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
lobster,lobster,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
lollipop,lollipop,candy/chocolate,candy/chocolate,,sweet snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
lonely,,,,,,,,,,lonely,lonely,lonely,,,lonesome,alone,alone,,,,,,,,,,,
loner,,,,,,,,,,,,,,,lonesome,alone,alone,,,,,,,,,,,
lonesome,,,,,,,,,,,,,,,lonesome,alone,alone,,,,,,,,,,,
long black,,,,,,,,,,,,,,,,,,,,,,,,,,long black,coffee,non alcoholic
long macchiato,,,,,,,,,,,,,,,,,,,,,,,,,,macchiato,coffee,non alcoholic
longing,,,,,,,,,,longing,affection/longing,positive,,,,,,,,,,,,,,,,
lounge,,,,,,,,,,,,,lounge,home,,,,,,,,,,,,,,
love,,,,,,,,,,love,affection/longing,positive,,,,,,,,,,,,,,,,
love for life,,,,,,,,,,love for life,affection/longing,positive,,,,,,,,,,,,,,,,
lover,,,,,,,,,,,,,,,lover,romantic partner,pair,,,,,,,,,,,
lovers,,,,,,,,,,,,,,,lover,romantic partner,pair,,,,,,,,,,,
low calorie,,,,,,,,,,,,,,,,,,,,low calorie,diet,,,,,,,
low cost,,,,,,,,,,,,,,,,,,,,,,low cost,cost,,,,,
lowcalorie,,,,,,,,,,,,,,,,,,,,low calorie,diet,,,,,,,
lucas candy,lucas candy,wholesome snacks,light food,light food,wholesome snacks,,lucas candy,lucas candy,lucas candy,,,,,,,,,,,portable,portable,rte,rte,,,,,
lucas mexican candy,lucas candy,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
lunch,,,,,,,,,,,,,,,,,,lunch,afternoon,,,,,,,,,
lunch box,,,,,,,,,,,,,,,,,,,,,,lunch box,packaging,,,,,
lunchmeat,lunchmeat,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
mabel,mabel,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
mac and cheese,mac and cheese,heavy meal,heavy meal,,,,,,,,,,,,,,,,,,,,,,,,,
mac cheese bar,mac and cheese,heavy meal,heavy meal,,,,,,,,,,,,,,,,,,,,,,,,,
mac nd cheese,mac and cheese,heavy meal,heavy meal,,,,,,,,,,,,,,,,,,,,,,,,,
maca crocante,,,,,,,maca crocante,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
macadamia,macadamia,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
macaroni and cheese,mac and cheese,heavy meal,heavy meal,,,,,,,,,,,,,,,,,,,,,,,,,
macchiato,,,,,,,,,,,,,,,,,,,,caffeine,properties,refreshing,refreshing,,,macchiato,coffee,non alcoholic
macncheese,mac and cheese,heavy meal,heavy meal,,,,,,,,,,,,,,,,,,,,,,,,,
mae terra,mae terra,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
magnesium,,,,,,,,,,,,,,,,,,,,magnesium,nutritional,,,,,,,
maizena,maizena,cereal,light food,light food,,,,,,,,,,,,,,,,,,,,,,,,
making,,,,,,,,,,,,,,,,,,,,,,,,making,day to day activities,,,
malt,malt,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
malvavisco,marshmallow,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
manage illness and weight,,,,,,,,,,,,,,,,,,,,,,weight management ,weight management,,,,,
manage my health,,,,,,,,,,,,,,,,,,,,,,manage my health,health & nutrition,,,,,
manage weight,,,,,,,,,,,,,,,,,,,,,,weight management ,weight management,,,,,
mango,mango,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
mango margaritas,,,,,,,,,,,,,,,,,,,,,,,,,,mango margaritas,juices,non alcoholic
mani,mani,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
mantecadas,mantecadas,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
manzela,manzela,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
maple,maple,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
maracuja mousse,maracuja mousse,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
maraschino,,,,,,,,,,,,,,,,,,,,,,,,,,maraschino,juices,non alcoholic
margarina,margarine,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
margarine,margarine,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
margarita,,,,,,,,,,,,,,,,,,,,,,,,,,margarita,cocktails,alcoholic
margaritas,,,,,,,,,,,,,,,,,,,,,,,,,,margarita,cocktails,alcoholic
marilan,marilan,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
marinara,marinara,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
marinela,,,,,,,marinela,marinela,marinela,,,,,,,,,,,portable,portable,rte,rte,,,,,
marinela choco roles,,,,,,,marinela choco roles,marinela,marinela,,,,,,,,,,,portable,portable,rte,rte,,,,,
marinela príncipe,,,,,,,marinela príncipe,marinela,marinela,,,,,,,,,,,portable,portable,rte,rte,,,,,
market,,,,,,,,,,,,,market,outside,,,,,,,,,,,,,,
marmalade,marmalade,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
marmelade,marmalade,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
marshmallow,marshmallow,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
marshmallows,marshmallow,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
martini,,,,,,,,,,,,,,,,,,,,,,,,,,martini,cocktails,alcoholic
mashed,,,,,,,,,,,,,,,,,,,,mashed,properties,,,,,,,
mashed potatoes,mashed potatoes,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
mate,,,,,,,,,,,,,,,mate,friends,large group,,,,,,,,,,,
mates,,,,,,,,,,,,,,,mates,friends,large group,,,,,,,,,,,
matey,,,,,,,,,,,,,,,mates,friends,large group,,,,,,,,,,,
mateys,,,,,,,,,,,,,,,mates,friends,large group,,,,,,,,,,,
mayonnaise,mayonnaise,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
mazapan,mazapan,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
mazapanes,mazapanes,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
mazapanes de cacahuate,mazapanes de cacahuate,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
meal complement,,,,,,,,,,,,,,,,,,,,,,meal complement,complement meal,,,,,
meal compliment,,,,,,,,,,,,,,,,,,,,,,meal complement,complement meal,,,,,
meal enhancement,,,,,,,,,,,,,,,,,,,,,,meal enhancement,meal enhancement,,,,,
meal replacement,,,,,,,,,,,,,,,,,,,,,,meal replacement,meal replacement,,,,,
meal replacement / complement,,,,,,,,,,,,,,,,,,,,,,meal replacement,meal replacement,,,,,
meat,meat,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
meat sauce,meatsauce,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
meatsauce,meatsauce,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
média,,,,,,,,,,,,,,,,,,,,,,,,,,média,chocolated based drink,non alcoholic
meiguice,meiguice,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
melon,melon,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
mendorato,mendorato,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
mental performance,,,,,,,,,,,,,,,,,,,,,,mental performance,mental performance,,,,,
mentira,mentira,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
mercy,,,,,,,,,,mercy,mercy,mercy,,,,,,,,,,,,,,,,
metabolism,,,,,,,,,,,,,,,,,,,,,,metabolism,health & nutrition,,,,,
mexico,,,,,,,,,,,,,mexico,outside,,,,,,,,,,,,,,
michelada,,,,,,,,,,,,,,,,,,,,,,,,,,michelada,cocktails,alcoholic
midday,,,,,,,,,,,,,,,,,,midday,midday,,,,,,,,,
midnight,,,,,,,,,,,,,,,,,,midnight,midnight,,,,,,,,,
migas,migas,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
mignonette,mignonette,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
milk,,,,,,,,,,,,,,,,,,,,,,,,,,milk,milk,non alcoholic
milk punch,,,,,,,,,,,,,,,,,,,,,,,,,,milk punch,cocktails,alcoholic
milk shake,,,,,,,,,,,,,,,,,,,,,,,,,,milkshake,shakes,non alcoholic
milkshake,,,,,,,,,,,,,,,,,,,,,,,,,,milkshake,shakes,non alcoholic
mimosa,,,,,,,,,,,,,,,,,,,,,,,,,,mimosas,cocktails,alcoholic
mimosas,,,,,,,,,,,,,,,,,,,,,,,,,,mimosas,cocktails,alcoholic
mineral,,,,,,,,,,,,,,,,,,,,minerals,nutritional,,,,,,,
mineral water,,,,,,,,,,,,,,,,,,,,,,,,,,mineral water,water,non alcoholic
minerals,,,,,,,,,,,,,,,,,,,,minerals,nutritional,,,,,,,
mini cookies sem gluten castanha do para e caju,,,,,,,mini cookies sem gluten castanha do para e caju,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
mini cookies sem gluten laranja e mel,,,,,,,mini cookies sem gluten laranja e mel,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
mini cookies zero acucar amendos e castanhas,,,,,,,mini cookies zero acucar amendos e castanhas,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
mini cookies zero acucar cappucino e avela,,,,,,,mini cookies zero acucar cappucino e avela,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
mini mamut,mini mamut,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
mint,mint,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
mix fruits,,,,,,,mix fruits,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
mix sementes e frutas,,,,,,,mix sementes e frutas,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
mix sementes e nuts,,,,,,,mix sementes e nuts,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
mix sementes tradicional,,,,,,,mix sementes tradicional,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
moca flakes,,,,,,,moca flakes,moca flakes,nestle,,,,,,,,,,,,,,,,,,,
mocha,,,,,,,,,,,,,,,,,,,,,,,,,,mocha,coffee,non alcoholic
mocktails,,,,,,,,,,,,,,,,,,,,,,,,,,mocktails,mocktails,non alcoholic
molho de tomate com manjericao,,,,,,,molho de tomate com manjericao,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
molho de tomate tradicional,,,,,,,molho de tomate tradicional,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
molletes,molletes,light food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
mom,,,,,,,,,,,,,,,mom,family,small group,,,,,,,,,,,
mommy,,,,,,,,,,,,,,,mom,family,small group,,,,,,,,,,,
monday,,,,,,,,,,,,,,,,,,weekday,weekday,,,,,,,,,
mornay,mornay,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
mornin,,,,,,,,,,,,,,,,,,morning,morning,,,,,,,,,
morning,,,,,,,,,,,,,,,,,,morning,morning,,,,,,,,,
mother,,,,,,,,,,,,,,,mom,family,small group,,,,,,,,,,,
mousse de morango,,,,,,,mousse de morango,barras proteicas,kobber,,,,,,,,,,,,,,,,,,,
movie,,,,,,,,,,,,,movie,outside,,,,,,,,,,,,,,
mozzarella,mozzarella,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
mucilon,,,,,,,mucilon,mucilon,nestle,,,,,,,,,,,,,,,,,,,
muesli,muesli,cereal,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
mueslix,,,,,,,mueslix,mueslix,kelloggs,,,,,,,,,,,,,,,,,,,
muffin,muffin,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
muffins,muffin,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
mulled,,,,,,,,,,,,,,,,,,,,mulled,properties,,,,,,,
multigrain,,,,,,,,,,,,,,,,,,,,multigrain,ingredients,,,,,,,
museum,,,,,,,,,,,,,museum,outside,,,,,,,,,,,,,,
mushroom,mushroom,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
music,,,,,,,,,,,,,music,outside,,,,,,,,,,,,,,
musli chocolate,,,,,,,musli chocolate,muslis,kobber,,,,,,,,,,,,,,,,,,,
musli tradicional,,,,,,,musli tradicional,muslis,kobber,,,,,,,,,,,,,,,,,,,
mussel,mussel,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
mustard,mustard,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
child,,,,,,,,,,,,,,,child,family,small group,,,,,,,,,,,
children,,,,,,,,,,,,,,,child,family,small group,,,,,,,,,,,
my girl,,,,,,,,,,,,,,,my girl,romantic partner,pair,,,,,,,,,,,
my love,,,,,,,,,,,,,,,my love,romantic partner,pair,,,,,,,,,,,
my man,,,,,,,,,,,,,,,my man,romantic partner,pair,,,,,,,,,,,
my sweetheart,,,,,,,,,,,,,,,my sweetheart,romantic partner,pair,,,,,,,,,,,
naan,naan,heavy meal,heavy meal,,,,,,,,,,,,,,,,,,,,,,,,,
nacho,nacho,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
nachos,nachos,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
namorado,namorado,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
natural,,,,,,,,,,,,,,,,,,,,,,natural,health & nutrition,,,,,
natural & healthy,,,,,,,,,,,,,,,,,,,,,,natural & healthy,natural,,,,,
natural and nutritious,,,,,,,,,,,,,,,,,,,,,,natural and nutritious,health & nutrition,,,,,
natural diet,,,,,,,,,,,,,,,,,,,,,,health natural diet,health & nutrition,,,,,
natural gluten free,,,,,,,,,,,,,,,,,,,,gluten free,diet,,,,,,,
natural nutrition,,,,,,,,,,,,,,,,,,,,,,natural nutrition,health & nutrition,,,,,
natural water,,,,,,,,,,,,,,,,,,,,,,,,,,natural water,water,non alcoholic
naturally,,,,,,,,,,,,,,,,,,,,natural,properties,,,,,,,
nature,,,,,,,,,,,,,,,,,,,,natural,properties,,,,,,,
nauseous,,,,,,,,,,nauseous,dislike,negative,,,,,,,,,,,,,,,,
nayonaise,nayonaise,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
nectarine,nectarine,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
need,,,,,,,,,,need,craving,positive,,,,,,,,,,,,,,,,
neglect,,,,,,,,,,neglect,dislike,negative,,,,,,,,,,,,,,,,
negroni,,,,,,,,,,,,,,,,,,,,,,,,,,negroni,cocktails,alcoholic
neighbor,,,,,,,,,,,,,,,neighbors,neighbors,small group,,,,,,,,,,,
neighborhood,,,,,,,,,,,,,neighborhood,outside,,,,,,,,,,,,,,
neighbors,,,,,,,,,,,,,,,neighbors,neighbors,small group,,,,,,,,,,,
neighbour,,,,,,,,,,,,,,,neighbors,neighbors,small group,,,,,,,,,,,
neighbourhood,,,,,,,,,,,,,neighbourhood,outside,,,,,,,,,,,,,,
nephew,,,,,,,,,,,,,,,nephew,family,small group,,,,,,,,,,,
nephews,,,,,,,,,,,,,,,nephew,family,small group,,,,,,,,,,,
nescafe,,,,,,,nescafe,nescafe,nestle,,,,,,,,,,,,,,,,,,,
nescau,,,,,,,nescau,nescau,nestle,,,,,,,,,,,portable,portable,,,,,,,
nescau 2.0,,,,,,,nescau 2.0,nescau,nestle,,,,,,,,,,,,,,,,,,,
nescau 3.0,,,,,,,nescau 3.0,nescau,nestle,,,,,,,,,,,,,,,,,,,
nescau granola,,,,,,,nescau granola,nescau,nestle,,,,,,,,,,,,,,,,,,,
nescau light,,,,,,,nescau light,nescau,nestle,,,,,,,,,,,,,,,,,,,
nescau prontinho,,,,,,,nescau prontinho,nescau,nestle,,,,,,,,,,,,,,,,,,,
nescau prontinho light,,,,,,,nescau prontinho light,nescau,nestle,,,,,,,,,,,,,,,,,,,
nescau prontinho zero lactose,,,,,,,nescau prontinho zero lactose,nescau,nestle,,,,,,,,,,,,,,,,,,,
nescau shake,,,,,,,nescau shake,nescau,nestle,,,,,,,,,,,,,,,,,,,
nesfit,,,,,,,nesfit,nesfit,nestle,,,,,,,,,,,portable,portable,rte,rte,,,,,
nesquick,,,,,,,nesquick,nesquick,nestle,,,,,,,,,,,,,,,,,,,
nestle,,,,,,,nestle,nestle,nestle,,,,,,,,,,,portable,portable,rte,rte,,,,,
new flavours vs tides me over,,,,,,,,,,,,,,,,,,,,,,new flavours vs tides me over,new flavours vs tides me over,,,,,
new taste,,,,,,,,,,,,,,,,,,,,,,new taste,taste,,,,,
new tastes,,,,,,,,,,,,,,,,,,,,,,new taste,taste,,,,,
next door,,,,,,,,,,,,,next door,home,,,,,,,,,,,,,,
niece,,,,,,,,,,,,,,,nieces,family,small group,,,,,,,,,,,
nieces,,,,,,,,,,,,,,,nieces,family,small group,,,,,,,,,,,
nigga,,,,,,,,,,,,,,,nigga,friends,large group,,,,,,,,,,,
niggas,,,,,,,,,,,,,,,nigga,friends,large group,,,,,,,,,,,
night,,,,,,,,,,,,,,,,,,night,night,,,,,,,,,
night out,,,,,,,,,,,,,night out,outside,,,,,,,,,,,,,,
nightclub,,,,,,,,,,,,,nightclub,outside,,,,,,,,,,,,,,
nightmare,,,,,,,,,,nightmare,dislike,negative,,,,,,,,,,,,,,,,
non gmo,,,,,,,,,,,,,,,,,,,,non gmo,properties,,,,,,,
noodles,noodles,heavy meal,heavy meal,,,,,,,,,,,,,,,,,,,,,,,,,
noon,,,,,,,,,,,,,,,,,,noon,afternoon,,,,,,,,,
nopalitos,nopalitos,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
nostalgia,,,,,,,,,,nostalgic,affection/longing,positive,,,,,,,,,,,,,,,,
nostalgic,,,,,,,,,,nostalgic,affection/longing,positive,,,,,,,,,,,,,,,,
not content,,,,,,,,,,not content,dislike,negative,,,,,,,,,,,,,,,,
not filling,,,,,,,,,,,,,,,,,,,,,,not filling,not filling,,,,,
not filling/prevent illness,,,,,,,,,,,,,,,,,,,,,,not filling/prevent illness,not filling/prevent illness,,,,,
not full,,,,,,,,,,,,,,,,,,,,,,not full,not full,,,,,
not good,,,,,,,,,,not good,dislike,negative,,,,,,,,,,,,,,,,
not happy,,,,,,,,,,not happy,dislike,negative,,,,,,,,,,,,,,,,
not messy,,,,,,,,,,,,,,,,,,,,,,not messy,not messy,,,,,
nourishment,,,,,,,,,,,,,,,,,,,,,,nourishment,health & nutrition,,,,,
nozes,nozes,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
nozpeca,nozpeca,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
nucita,nucita,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
nueces,nueces,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
nueces pecanas,nueces pecanas,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
nuez de la india,nuez de la india,wholesome snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
nuget,nuggets,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
nugget,nuggets,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
nuggets,nuggets,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
nut,nut,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
nut bar,nut bars,bars,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
nut bars,nut bars,bars,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
nutella,nutella,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
nutmeg,nutmeg,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
nutri grain classic apple,,,,,,,nutri grain classic apple,nutri grain,kelloggs,,,,,,,,,,,,,,,,,,,
nutri grain classic strawberry,,,,,,,nutri grain classic strawberry,nutri grain,kelloggs,,,,,,,,,,,,,,,,,,,
nutri grain frutela apple,,,,,,,nutri grain frutela apple,nutri grain,kelloggs,,,,,,,,,,,,,,,,,,,
nutri grain frutela blueberry,,,,,,,nutri grain frutela blueberry,nutri grain,kelloggs,,,,,,,,,,,,,,,,,,,
nutri grain frutela pineapple,,,,,,,nutri grain frutela pineapple,nutri grain,kelloggs,,,,,,,,,,,,,,,,,,,
nutrient,,,,,,,,,,,,,,,,,,,,nutrients,diet,,,,,,,
nutrients,,,,,,,,,,,,,,,,,,,,nutrients,diet,,,,,,,
nutrition,,,,,,,,,,,,,,,,,,,,,,nutrition,health & nutrition,,,,,
nutricion,,,,,,,,,,,,,,,,,,,,,,nutrition,health & nutrition,,,,,
nutritional,,,,,,,,,,,,,,,,,,,,,,nutrition,health & nutrition,,,,,
nutritious,,,,,,,,,,,,,,,,,,,,,,nutrition,health & nutrition,,,,,
nutritious vs enhances food,,,,,,,,,,,,,,,,,,,,,,nutritious vs enhances food,health & nutrition,,,,,
nutry,nutry,wholesome snacks,light food,light food,wholesome snacks,packaged food,nutry,nutry,nutry,,,,,,,,,,,portable,portable,rte,rte,,,,,
nuts,nut,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,,,
nuttela,nuttela,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
nuttella,nuttela,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
oat,oats,cereal,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
oat cake,oat cakes,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
oat cakes,oat cakes,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
oat flakes,oat flakes,cereal,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
oatcakes,oat cakes,snacks,light food,light food,sweet snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
oatmeal,oatmeal,cereal,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
oats,oats,cereal,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
oats flakes,oat flakes,snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
oblea,oblea,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
obleas,oblea,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
obreia,obreia,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
office,,,,,,,,,,,,,office,work,,,,,,,,,,,,,,
offices,,,,,,,,,,,,,office,work,,,,,,,,,,,,,,
oilseeds,oilseeds,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,,,
oily,,,,,,,,,,,,,,,,,,,,oily,textures,,,,,,,
olive,olive,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
omelette,omelette,light food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
omlette,omelette,light food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
on the go,,,,,,,,,,,,,on the go,on the way,,,,,,,,on the go,on the go,,,,,
on the way,,,,,,,,,,,,,on the way,on the way,,,,,,,,,,,,,,
onion,onion,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
open space,,,,,,,,,,,,,open space,outside,,,,,,,,,,,,,,
orange,orange,fruits,natural,,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
orange punch,,,,,,,,,,,,,,,,,,,,,,,,,,orange punch,mocktails,non alcoholic
oregano,oregano,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
